term,pleasure,arousal,dominance,Value
rollercoaster,90.929705,91.38322,57.823129,
thrill,91.269841,90.929705,74.14966,
win,95.011338,87.528345,83.786848,
excitement,85.034014,86.961451,70.068027,
miracle,97.505669,86.734694,60.657596,
romantic,94.331066,86.054422,68.93424,
surprised,84.693878,84.693878,69.274376,
cash,94.897959,83.560091,78.911565,
desire,87.188209,83.333333,73.582766,
graduate,92.857143,82.199546,78.684807,
fun,94.897959,81.85941,77.097506,
joy,97.505669,81.85941,71.201814,
skijump,80.045351,80.045351,55.555556,
adventure,86.1678,79.138322,73.24263,
startled,51.020408,78.571429,50.793651,
alert,70.294785,77.664399,67.573696,
exercise,80.839002,77.55102,64.399093,
triumphant,100,76.870748,78.798186,
engaged,90.702948,76.75737,73.582766,
treasure,93.764172,76.530612,72.108844,
laughter,95.804989,76.530612,73.129252,
joke,91.836735,76.417234,69.727891,
party,89.115646,75.85034,66.099773,
profit,86.507937,75.736961,66.326531,
birthday,88.888889,75.736961,66.780045,
power,74.14966,75.623583,82.539683,
fireworks,85.600907,75.623583,62.471655,
victory,94.331066,75.170068,82.312925,
lightning,51.814059,74.943311,41.609977,
holiday,85.600907,74.716553,71.428571,
festive,82.76644,74.603175,65.419501,
quick,75.283447,74.489796,74.489796,
fame,89.909297,74.263039,77.664399,
rescue,87.301587,74.036281,73.129252,
lucky,92.630385,74.036281,68.594104,
happy,93.0839,73.582766,75.170068,
promotion,92.970522,73.015873,76.984127,
love,98.866213,73.015873,80.612245,
noisy,56.9161,72.335601,55.895692,
loved,97.959184,72.335601,75.056689,
reunion,73.469388,71.882086,63.945578,
heart,83.786848,71.882086,62.244898,
volcano,54.875283,71.768707,36.848073,
dazzle,82.653061,71.768707,63.718821,
talent,85.714286,71.088435,73.582766,
leader,86.507937,71.088435,89.342404,
christmas,88.435374,71.088435,60.884354,
cliff,52.947846,70.861678,49.319728,
car,87.641723,70.748299,79.138322,
outstanding,87.868481,70.748299,72.562358,
terrific,92.517007,70.634921,74.829932,
confident,90.47619,70.521542,87.07483,
travel,80.498866,70.408163,71.54195,
elated,84.46712,70.408163,62.698413,
affection,95.124717,70.408163,68.93424,
lion,63.151927,70.294785,46.712018,
beautiful,86.1678,69.954649,71.315193,
riches,87.301587,69.954649,76.417234,
brave,81.06576,69.727891,81.85941,
plane,72.902494,69.614512,54.195011,
gift,88.095238,69.614512,62.585034,
millionaire,91.043084,69.614512,79.024943,
mother,95.124717,69.501134,65.079365,
cheer,91.836735,69.387755,68.027211,
admired,87.755102,69.274376,85.37415,
success,93.99093,69.274376,78.117914,
athletics,74.943311,69.160998,69.387755,
memories,84.807256,69.160998,66.666667,
sunlight,87.981859,69.160998,63.8322,
song,80.498866,68.820862,66.326531,
dollar,84.693878,68.820862,71.768707,
pretty,87.868481,68.367347,62.358277,
inspired,81.06576,68.253968,75.623583,
life,82.426304,68.253968,64.852608,
